author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity,indice
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/segunda-feira-21-de-agosto-de-2017.ghtml,ciencia_tecnologia,21/08/2017 20h08 ,804,710,410,None,4,101,6,234,41,23,18,0,0,20,2.68571,3435,20.2857,4.83803,0.00422535,0.191045,0.577465,671
"Por Fabiano Costa e Luciana Amaral, G1, Brasília ",https://g1.globo.com/politica/noticia/temer-vai-a-casa-de-carmen-lucia-em-brasilia-para-discutir-a-crise-nos-presidios.ghtml,sociedade_cotidiano,07/01/2017 11h18 ,1074,956,423,0,6,119,3,288,53,40,20,0,0,27,3.18919,4863,25.8378,5.08682,0.00104603,0.228501,0.442469,672
"Por Luiza Garonce, G1 DF ",https://g1.globo.com/df/distrito-federal/noticia/casos-reais-de-violencia-domestica-viram-contos-em-livro-de-juiza-leia-entrevista.ghtml,tv_celebridades,25/02/2018 08h00 ,3036,2535,900,0,14,503,13,573,132,218,52,45,1,309,3.36242,11777,17.0134,4.64576,0.000394477,0.325279,0.35503,673
Por G1 PR ,https://g1.globo.com/pr/parana/noticia/sergio-moro-recebe-honraria-de-universidade-americana-por-atuacao-na-lava-jato.ghtml,sociedade_cotidiano,02/10/2017 18h55 ,532,472,253,0,0,55,0,136,31,11,5,0,0,31,2.4,2322,18.88,4.91949,0.00211864,0.219895,0.536017,674
"Por Tácita Muniz, G1 AC, Rio Branco ",https://g1.globo.com/ac/acre/noticia/durmo-e-acordo-pensando-nele-diz-mae-de-menino-que-sumiu-no-ac-e-deixou-14-livros-criptografados.ghtml,tv_celebridades,12/05/2017 09h58 ,1734,1490,614,0,3,317,6,329,51,109,42,24,4,178,2.30189,6615,14.0566,4.4396,0.000671141,0.247678,0.412081,675
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/huck-fora/,tv_celebridades,27 de novembro de 2017 ,2281,2036,911,0,9,312,18,610,84,83,40,1,0,78,2.72222,9922,22.6222,4.87328,0.00540275,0.181128,0.447446,676
Por BBC ,https://g1.globo.com/mundo/noticia/como-o-termo-fake-news-virou-arma-nos-dois-lados-da-batalha-politica-mundial.ghtml,religiao,27/01/2018 19h12 ,2270,1976,864,0,6,342,14,531,157,111,63,3,2,148,3.12766,10006,21.0213,5.06377,0.0126518,0.306987,0.437247,677
"Ricardo Galhardo, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,presidente-do-pt-rj-contraria-cupula-e-fala-em-plano-b-a-lula,70002174312",politica,01 de fevereiro de 2018 ,1084,943,432,0,10,143,15,276,64,43,20,4,4,59,4.54839,4483,30.4194,4.75398,0.0,0.25537,0.458112,678
Por Deutsche Welle ,https://g1.globo.com/mundo/noticia/que-papel-cabe-a-seul-na-crise-da-coreia-do-norte.ghtml,politica,12/04/2017 16h01 ,1034,899,458,None,7,115,11,244,85,39,13,0,0,49,3.46154,4386,23.0513,4.87875,0.0,0.345404,0.509455,679
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/terca-feira-8-de-agosto-de-2017.ghtml,politica,08/08/2017 19h09 ,761,670,387,None,6,113,4,190,35,25,17,0,0,34,2.39474,3183,17.6316,4.75075,0.00447761,0.19802,0.577612,680
"Por Aline Pavaneli, G1 PR ",https://g1.globo.com/pr/parana/noticia/lava-jato-completa-quatro-anos-com-40-sentencas-de-sergio-moro-tempo-medio-de-tramite-das-acoes-foi-de-nove-meses.ghtml,politica,17/03/2018 03h00 ,1450,1288,501,0,12,143,1,396,72,40,19,0,0,42,2.94545,6039,23.4182,4.68866,0.0,0.207792,0.388975,681
"Por G1 SP, São Paulo ",https://g1.globo.com/sao-paulo/noticia/interacao-de-crianca-com-artista-nu-em-museu-de-sp-gera-polemica.ghtml,politica,29/09/2017 13h01 ,1194,1028,458,0,15,185,8,301,55,46,22,1,0,50,3.2549,5195,20.1569,5.0535,0.00194553,0.207819,0.445525,682
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/sexta-feira-17-de-fevereiro-de-2017.ghtml,tv_celebridades,17/02/2017 19h10 ,775,689,414,0,12,114,2,207,33,28,17,0,0,24,2.09756,3336,16.8049,4.8418,0.00580552,0.190031,0.600871,683
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quinta-feira-1-de-fevereiro-de-2018.ghtml,tv_celebridades,01/02/2018 20h03 ,795,682,409,0,4,100,5,203,36,20,14,1,2,35,2.825,3308,17.05,4.85044,0.00293255,0.184818,0.599707,684
Por G1 ,https://g1.globo.com/mundo/noticia/trump-adverte-coreia-do-norte-de-que-chegou-o-tempo-da-forca.ghtml,politica,08/11/2017 04h09 ,822,705,354,None,7,107,11,193,43,25,12,3,3,47,3.34286,3429,20.1429,4.86383,0.00141844,0.226667,0.502128,685
"Por Alba Valéria Mendonça, G1 Rio ",https://g1.globo.com/rio-de-janeiro/noticia/corpo-do-ator-nelson-xavier-sera-cremado-nesta-quinta-no-rio.ghtml,tv_celebridades,11/05/2017 04h00 ,1540,1234,603,None,5,191,4,320,55,62,27,5,1,83,4.30986,5678,17.3803,4.6013,0.000810373,0.228963,0.488655,686
"Julia Lindner, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,candidatura-temer-e-encenacao-obra-do-marketing-oficial,70002222177",ciencia_tecnologia,11 de março de 2018 ,1466,1287,614,0,11,226,7,360,73,68,28,13,3,97,2.79688,6432,20.1094,4.99767,0.001554,0.240614,0.477078,687
"Por Ana Carolina Moreno, Luiza Tenente e Vanessa Fajardo, G1 ",https://g1.globo.com/educacao/noticia/entenda-a-polemica-em-torno-do-escola-sem-partido.ghtml,tv_celebridades,03/08/2016 14h20 ,2897,2468,837,None,31,354,29,674,134,110,37,1,0,166,4.76667,12312,27.4222,4.98865,0.0,0.237354,0.339141,688
"Por Karina Trevizan *, G1 ",https://g1.globo.com/economia/noticia/prefeituras-e-outros-orgaos-publicos-devem-r-679-milhoes-ao-fgts.ghtml,sociedade_cotidiano,26/07/2017 06h01 ,2856,2462,883,0,65,395,13,677,124,141,71,0,0,105,3.90099,12354,24.3762,5.01787,0.0,0.247201,0.358651,689
"Mr. Miles, O Estado de S. Paulo ","http://viagem.estadao.com.br/noticias/geral,um-fartao-de-viajar-sera-possivel,70002243040",politica,27 de março de 2018 ,855,701,407,0,9,120,8,178,44,51,10,7,3,93,3.08,3255,14.02,4.64337,0.0271041,0.318792,0.580599,690
Por BBC ,https://g1.globo.com/mundo/noticia/como-e-panmunjom-o-lugar-mais-tenso-do-mundo-onde-as-duas-coreias-estao-conversando.ghtml,sociedade_cotidiano,09/01/2018 12h39 ,982,878,384,0,2,121,4,233,36,42,12,0,0,63,2.97143,4013,25.0857,4.57061,0.00455581,0.220339,0.437358,691
Por G1 ,https://g1.globo.com/educacao/enem/2016/noticia/mais-caro-da-historia-enem-2016-bate-recorde-na-arrecadacao-com-inscricoes.ghtml,tv_celebridades,09/09/2016 08h11 ,961,830,371,0,9,101,7,254,44,32,20,0,0,19,2.91111,3765,18.4444,4.53614,0.00481928,0.214085,0.446988,692
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/tudo-eu/,sociedade_cotidiano,08 de junho de 2017 ,2019,1799,766,0,38,276,15,517,64,105,35,2,0,102,2.82051,8632,23.0641,4.79822,0.00222346,0.213115,0.425792,693
"Por Renan Ramalho, G1, Brasília ",https://g1.globo.com/politica/noticia/ministro-marco-aurelio-mello-derruba-afastamento-de-aecio-neves.ghtml,politica,30/06/2017 11h31 ,1465,1281,498,0,16,166,6,383,71,56,22,3,0,56,3.17241,6433,22.0862,5.02186,0.00078064,0.23133,0.388759,694
Por Agencia EFE ,https://g1.globo.com/mundo/noticia/coreia-do-norte-diz-que-reforcara-armas-nucleares-por-causa-de-porta-avioes-dos-eua.ghtml,sociedade_cotidiano,24/04/2017 13h07 ,553,506,274,0,5,66,9,150,41,7,10,0,0,28,2.61111,2525,28.1111,4.99012,0.0,0.222222,0.541502,695
"Por G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/defesa-de-glaucos-pede-a-moro-registro-de-visitas-em-hospital-para-comprovar-assinaturas-em-recibos-para-lula.ghtml,politica,28/09/2017 20h03 ,667,599,286,0,3,84,6,186,18,13,17,0,0,23,2.26667,2984,19.9667,4.98164,0.00166945,0.114815,0.477462,696
"Por Gustavo Garcia, G1, Brasília ",https://g1.globo.com/politica/noticia/senado-decide-colocar-em-votacao-ordem-do-stf-para-afastar-aecio.ghtml,politica,28/09/2017 12h29 ,1854,1584,595,0,26,253,24,460,64,68,33,3,6,85,3.75,7704,22.0,4.86364,0.000631313,0.185133,0.375631,698
Por BBC ,https://g1.globo.com/mundo/noticia/as-diferencas-e-semelhancas-entre-o-separatismo-do-sul-do-brasil-e-o-da-catalunha.ghtml,politica,28/10/2017 09h13 ,2281,1944,790,0,12,296,10,538,137,111,38,1,6,114,3.87356,9608,22.3448,4.94239,0.00154321,0.297362,0.406379,699
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/vinganca-maligna/,politica,12 de junho de 2017 ,2319,2069,935,0,27,313,11,555,115,101,41,1,0,165,3.42466,10124,28.3425,4.89319,0.00483325,0.248848,0.451909,700
Por G1 PB ,https://g1.globo.com/pb/paraiba/noticia/menino-filho-de-vice-prefeita-faz-video-selfie-enquanto-dirige-carro-e-xinga-a-policia-na-pb.ghtml,sociedade_cotidiano,27/09/2017 12h35 ,631,551,312,0,7,89,6,150,23,22,6,0,1,37,2.85714,2573,19.6786,4.66969,0.00181488,0.188285,0.566243,701
"Por BBC, Por BBC ",https://g1.globo.com/rj/rio-de-janeiro/noticia/o-problema-do-rio-nao-sao-os-bandidos-sao-os-mocinhos-diz-ex-chefe-da-policia-civil.ghtml,politica,27/02/2018 21h40 ,2773,2394,837,0,17,454,16,626,124,137,60,7,3,209,2.26946,10992,14.3353,4.59148,0.000835422,0.241667,0.349624,702
Por G1 ,https://g1.globo.com/bemestar/noticia/homem-com-suspeita-de-cancer-descobre-que-tumor-era-brinquedo-inalado-aos-7-anos.ghtml,sociedade_cotidiano,27/09/2017 12h37 ,219,187,112,0,2,28,1,64,8,3,3,0,0,8,3.2,892,18.7,4.77005,0.00534759,0.119565,0.59893,703
"Por Samuel Nunes, G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/mpf-reafirma-que-recibos-de-alugueis-de-apartamento-vizinho-ao-de-lula-sao-falsos.ghtml,politica,12/01/2018 08h17 ,1444,1300,508,0,17,205,1,373,57,65,44,0,0,52,2.52632,6403,22.807,4.92538,0.00153846,0.211073,0.390769,704
"Cristiane Barbieri, especial para o Estado, O Estado de S.Paulo ","http://economia.estadao.com.br/noticias/geral,agricultura-40-avanca-e-traz-ganhos-a-produtor,70002069721",tv_celebridades,02 de novembro de 2017 ,923,819,455,0,2,117,5,266,48,31,23,0,0,37,2.4186,4237,19.0465,5.17338,0.00610501,0.206266,0.555556,705
Estado da Arte ,http://cultura.estadao.com.br/blogs/estado-da-arte/criadores-contemporaneos-entrevista-com-o-compositor-ronaldo-miranda/,tv_celebridades,08 de março de 2018 ,2764,2362,1049,0,12,303,19,643,150,113,39,12,2,167,3.4359,11326,20.188,4.79509,0.0084674,0.278013,0.444115,706
"Por Flávia Mantovani, G1 ",https://g1.globo.com/mundo/noticia/veja-8-discursos-historicos-de-obama-e-um-de-michelle.ghtml,politica,10/01/2017 06h00 ,4094,3542,1316,0,1,623,37,862,205,219,88,21,23,412,2.34894,16845,15.0723,4.75579,0.00310559,0.285522,0.371542,707
Por BBC ,https://g1.globo.com/mundo/noticia/por-que-o-populismo-esta-crescendo-na-direita-e-na-esquerda.ghtml,politica,11/03/2018 14h30 ,1185,989,472,None,2,142,1,255,82,65,28,2,0,70,4.0,4932,20.1837,4.98686,0.00404449,0.370277,0.47725,708
Por Deutsche Welle ,https://g1.globo.com/mundo/noticia/dez-perguntas-e-respostas-sobre-a-coreia-do-norte.ghtml,sociedade_cotidiano,04/09/2017 18h09 ,1642,1468,644,0,23,163,8,411,113,74,12,0,0,75,2.41667,7063,20.3889,4.81131,0.000681199,0.325784,0.438692,709
Por BBC ,https://g1.globo.com/mundo/noticia/construcao-de-abrigos-em-casa-canibalismo-e-enterro-de-familiares-a-revista-que-preparava-seus-leitores-para-uma-guerra-nuclear-nos-anos-1980.ghtml,sociedade_cotidiano,04/11/2017 14h14 ,1920,1657,773,0,10,263,12,446,128,82,34,5,0,141,3.37179,8333,21.2436,5.02897,0.0006035,0.296192,0.466506,710
"Adriana Ferraz, Bia Reis e Pedro Venceslau, O Estado de S. Paulo ","http://sao-paulo.estadao.com.br/noticias/geral,doria-admite-disputar-governo,70001731436",tv_celebridades,08 de abril de 2017 ,1437,1248,544,0,1,226,12,319,67,77,29,9,2,112,2.95312,5888,19.5,4.71795,0.00240385,0.26422,0.435897,711
,https://g1.globo.com/ba/bahia/noticia/suspeito-de-fraude-no-enem-confessa-que-usou-celular-durante-prova-na-ba-para-copiar-texto-de-redacao.ghtml,sociedade_cotidiano,19/01/2018,995,873,381,None,7,149,3,245,33,31,27,0,0,23,3.38889,4245,24.25,4.86254,0.0,0.162437,0.436426,712
"Por Rafaella Fraga, G1 RS ",https://g1.globo.com/rs/rio-grande-do-sul/noticia/a-tempo-do-dia-das-maes-mulher-consegue-prisao-domiciliar-e-passara-data-com-as-filhas-nunca-passei-longe.ghtml,tv_celebridades,13/05/2017 06h00 ,2759,2325,941,None,1,438,10,559,116,176,55,31,0,159,2.5988,10517,13.9222,4.52344,0.0,0.292879,0.404731,713
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quinta-feira-8-de-marco-de-2018.ghtml,sociedade_cotidiano,08/03/2018 20h04 ,764,681,404,0,10,98,6,203,29,31,20,0,0,18,2.24324,3257,18.4054,4.78267,0.00146843,0.199336,0.593245,714
"Tim Neville, The New York Times ","http://alias.estadao.com.br/noticias/geral,como-o-turismo-no-curdistao-sobreviveu-ao-estado-islamico,70002183739",sociedade_cotidiano,10 de fevereiro de 2018 ,1805,1597,799,0,13,243,9,421,105,81,27,5,7,129,2.36364,7544,18.1477,4.72386,0.00688791,0.28012,0.500313,715
"Por Vanessa Martins, G1 GO ",https://g1.globo.com/goias/cesio30anos/noticia/apos-30-anos-vitimas-do-acidente-com-cesio-137-dizem-sofrer-com-a-falta-de-apoios-medico-e-financeiro-em-goiania.ghtml,tv_celebridades,14/09/2017 10h44 ,4292,3734,1282,0,27,676,14,977,163,203,94,9,1,228,2.96809,18841,19.8617,5.0458,0.0029459,0.221416,0.343332,716
Por BBC ,https://g1.globo.com/mundo/noticia/eua-conhecem-bem-kim-jong-un-imprevisivel-e-trump-diz-ex-cia-e-especialista-em-coreia-do-norte.ghtml,sociedade_cotidiano,12/08/2017 11h10 ,2939,2572,851,0,46,432,19,641,178,169,44,6,6,218,2.9127,12156,20.4127,4.72628,0.00116641,0.323392,0.330871,717
Por G1 ,https://g1.globo.com/mundo/noticia/eua-e-coreia-do-sul-fazem-exercicios-militares-apos-coreia-do-norte-testar-novo-missil.ghtml,sociedade_cotidiano,29/04/2017 14h44 ,682,613,310,0,8,85,4,172,42,29,10,0,0,14,2.65385,2990,23.5769,4.87765,0.0,0.276265,0.50571,718
Redação Internacional ,http://internacional.estadao.com.br/blogs/radar-global/as-perguntas-que-surgem-apos-anuncio-do-encontro-de-trump-e-kim/,sociedade_cotidiano,09 de março de 2018 ,971,873,433,0,10,117,4,262,53,32,10,0,0,39,2.72222,4242,24.25,4.85911,0.00114548,0.224274,0.495991,719
O Estado de S.Paulo ,"http://internacional.estadao.com.br/noticias/geral,coreia-do-norte-diz-que-lancar-foguetes-contra-os-eua-se-tornou-inevitavel,70002013702",sociedade_cotidiano,23 de setembro de 2017 ,523,470,243,0,13,58,4,133,35,18,1,0,0,22,3.78571,2282,33.5714,4.85532,0.0,0.277487,0.517021,720
"Por Carolina Dantas, G1 ",https://g1.globo.com/ciencia-e-saude/noticia/7-perguntas-sobre-como-a-ciencia-ve-a-chamada-cura-gay.ghtml,tv_celebridades,21/09/2017 19h20 ,883,756,398,0,13,112,6,213,62,31,12,0,0,43,3.02381,3976,18.0,5.25926,0.0,0.286154,0.526455,721
"Julia Lindner, Igor Gadelha e Renan Truffi, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,aliados-reavaliam-acordos-com-o-pt-no-nordeste,70002192817",politica,17 de fevereiro de 2018 ,780,684,328,0,13,98,7,226,39,24,8,1,0,37,2.74286,3308,19.5429,4.83626,0.0,0.194444,0.479532,722
O Estado de S.Paulo ,"http://internacional.estadao.com.br/noticias/geral,retrospectiva-2016-apesar-de-sancoes-coreia-do-norte-aposta-em-armas-nucleares-e-misseis,10000095113",sociedade_cotidiano,17 de dezembro de 2016 ,729,678,356,0,6,71,2,200,60,18,7,0,0,31,2.21739,3353,29.4783,4.94543,0.0,0.287823,0.525074,723
"Por Guilherme Mazui, G1, Brasília ",https://g1.globo.com/politica/noticia/perfil-de-raquel-dodge-e-tecnico-rigoroso-e-discreto-descrevem-colegas-conheca-a-nova-procuradora-geral-da-republica.ghtml,politica,18/09/2017 05h01 ,2643,2297,1003,0,41,332,3,688,127,67,23,2,0,104,3.11712,11090,20.6937,4.82804,0.00217675,0.190196,0.436657,724
Por G1 ,https://g1.globo.com/mundo/noticia/apos-missil-da-coreia-do-norte-trump-diz-que-todas-as-opcoes-estao-sobre-a-mesa.ghtml,sociedade_cotidiano,29/08/2017 08h54 ,808,703,342,0,7,96,5,197,45,33,9,0,1,28,3.88889,3462,26.037,4.92461,0.00142248,0.266212,0.486486,725
Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/desembargador-nega-pedido-de-defesa-de-lula-para-destruir-grampos-telefonicos-com-advogados.ghtml,politica,08/11/2017 14h48 ,709,617,300,0,12,76,2,208,29,17,15,0,0,12,3.06667,3118,20.5667,5.05348,0.0,0.161972,0.486224,726
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/terca-feira-20-de-marco-de-2018.ghtml,sociedade_cotidiano,20/03/2018 20h04 ,791,700,425,None,6,96,1,203,46,19,15,0,0,31,2.52778,3373,19.4444,4.81857,0.00714286,0.217391,0.607143,727
"Por Anderson Barbosa, G1 RN ",https://g1.globo.com/rn/rio-grande-do-norte/noticia/rn-atinge-marca-historica-de-2-mil-assassinatos-em-menos-de-um-ano.ghtml,tv_celebridades,22/10/2017 10h03 ,3573,3175,1302,0,29,392,30,854,324,189,49,0,1,198,3.71963,16589,29.6729,5.22488,0.000944882,0.411718,0.410079,728
"The Economist, Impresso ","http://alias.estadao.com.br/noticias/geral,a-ameaca-nacionalista-por-que-o-patriotismo-excluente-se-fortalece-no-mundo-inteiro,10000093633",politica,10 de dezembro de 2016 ,4134,3608,1525,0,26,535,24,966,307,187,59,1,1,236,3.02299,18120,20.7356,5.02217,0.00166297,0.329114,0.422672,729
"Por Marco Antônio Martins, G1 Rio ",https://g1.globo.com/rio-de-janeiro/noticia/os-oito-processos-contra-cabral-veja-do-que-e-acusado-o-ex-governador-do-rj.ghtml,politica,17/05/2017 04h00 ,1788,1607,607,0,24,199,4,498,54,43,25,0,0,48,2.41333,7891,21.4267,4.91039,0.000622278,0.139168,0.377722,730
Por G1 Rio ,https://g1.globo.com/rio-de-janeiro/noticia/veja-a-integra-de-discurso-do-prefeito-eleito-do-rio-marcelo-crivella.ghtml,politica,01/01/2017 18h27 ,4505,3910,1519,0,14,582,44,1040,248,182,73,27,24,360,3.00505,19444,19.7475,4.97289,0.00127877,0.265105,0.388491,731
Por BBC ,https://g1.globo.com/mundo/noticia/fomos-cobaias-programa-contraceptivo-para-presos-reacende-debate-sobre-eugenia-nos-eua.ghtml,tv_celebridades,27/08/2017 19h00 ,3002,2612,1033,0,7,514,36,651,158,138,80,3,1,236,2.70833,12629,18.1389,4.83499,0.00153139,0.254077,0.395482,732
Por BBC ,https://g1.globo.com/economia/noticia/a-historia-do-caminhoneiro-que-se-assumiu-crossdresser-e-roda-o-brasil-de-salto-alto.ghtml,tv_celebridades,16/01/2018 17h14 ,2554,2134,896,None,2,456,15,475,107,170,60,62,1,260,2.72727,10323,13.8571,4.83739,0.00796626,0.29753,0.419869,733
Por G1 ,https://g1.globo.com/mundo/noticia/seul-espera-que-encontro-de-trump-e-kim-leve-a-desnuclearizacao-da-coreia-do-norte.ghtml,sociedade_cotidiano,09/03/2018 07h57 ,702,644,307,0,2,99,8,180,33,18,11,1,1,33,1.93333,3183,21.4667,4.94255,0.0015528,0.182796,0.476708,734
"Por Marcelo Courrege e Richard Souza, TV Globo, Moscou ",https://g1.globo.com/mundo/noticia/pesquisador-brasileiro-preso-na-russia-por-levar-ayahuasca-tem-pena-reduzida-para-tres-anos.ghtml,politica,12/09/2017 13h42 ,848,733,365,0,5,113,3,207,46,33,9,2,0,39,2.34694,3592,14.9592,4.90041,0.0109141,0.246875,0.497954,735
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/propina-provada/,politica,25 de janeiro de 2018 ,2316,2052,838,0,22,283,10,604,97,111,44,7,0,104,3.52,9747,27.36,4.75,0.00487329,0.234498,0.408382,736
Por BBC ,https://g1.globo.com/mundo/noticia/o-que-e-o-relogio-do-apocalipse-e-por-que-ele-indica-que-desde-1953-nunca-estivemos-tao-perto-de-uma-catastrofe-global.ghtml,religiao,14/07/2017 16h05 ,942,831,395,0,9,123,4,216,51,51,22,0,1,39,3.0,4034,22.4595,4.85439,0.0,0.300885,0.475331,737
Por BBC ,https://g1.globo.com/sp/sao-paulo/noticia/o-paulistano-de-classe-media-baixa-que-virou-lider-religioso-na-india-e-guru-de-famosos-no-brasil.ghtml,tv_celebridades,25/12/2017 07h57 ,2315,1931,874,0,5,397,7,446,114,122,49,7,1,204,3.49091,9371,17.5545,4.85293,0.00207147,0.279953,0.452615,738
Por G1 ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/relator-mantem-condenacao-de-lula-por-corrupcao-e-lavagem-de-dinheiro.ghtml,politica,24/01/2018 13h37 ,1398,1238,515,0,9,196,4,353,64,45,27,1,0,78,3.33333,6146,25.7917,4.96446,0.0,0.198543,0.415994,739
Por G1 ,https://g1.globo.com/politica/noticia/veja-as-principais-frases-da-votacao-da-denuncia-contra-temer-na-camara.ghtml,sociedade_cotidiano,02/08/2017 09h55 ,1253,1038,483,0,5,173,12,292,53,58,20,2,2,66,2.6875,4967,12.975,4.78516,0.0,0.23871,0.465318,740
"The Economist, O Estado de S.Paulo ","http://internacional.estadao.com.br/noticias/geral,o-homem-mais-poderoso-do-mundo,70002044545",sociedade_cotidiano,15 de outubro de 2017 ,1370,1198,623,0,21,174,13,317,107,80,15,0,0,81,2.64615,5871,18.4308,4.90067,0.0,0.380855,0.520033,741
Por G1 Itapetininga e Região ,https://g1.globo.com/sp/itapetininga-regiao/noticia/caso-emanuelly-mp-pede-exumacao-do-corpo-de-menina-morta-pelos-pais-em-itapetininga.ghtml,politica,15/03/2018 16h03 ,1194,1039,430,None,7,198,3,269,34,62,28,0,0,66,2.7193,4737,18.2281,4.55919,0.0,0.205567,0.413859,742
"Por Luísa Melo e Darlan Alvarenga, G1 ",https://g1.globo.com/economia/negocios/noticia/compliance-vira-mercado-em-alta-para-escritorios-de-advocacia-e-consultorias.ghtml,politica,09/07/2017 06h30 ,1542,1314,606,0,10,182,6,378,62,68,18,1,0,58,3.93103,6526,22.6552,4.96651,0.00913242,0.232143,0.461187,743
Por Reuters ,https://g1.globo.com/mundo/noticia/eua-alertam-coreia-do-norte-contra-outro-teste-de-misseis-e-minimizam-proposta-de-conversas.ghtml,sociedade_cotidiano,02/01/2018 19h37 ,717,658,287,None,5,87,10,175,35,23,10,0,0,28,2.56522,3119,28.6087,4.74012,0.0,0.221374,0.43617,744
O Estado de S.Paulo ,"http://internacional.estadao.com.br/noticias/geral,coreia-do-norte-promete-resposta-sem-piedade-a-provocacoes-americanas,70001738669",sociedade_cotidiano,14 de abril de 2017 ,951,821,407,0,11,119,5,234,72,28,17,0,0,37,3.71429,4150,23.4571,5.05481,0.00121803,0.283286,0.495737,745
"Por Leticia Mori, BBC, BBC Brasil, São Paulo ",https://g1.globo.com/sp/sao-paulo/noticia/os-descendentes-que-preservaram-no-brasil-uma-lingua-que-quase-nao-se-fala-mais-no-japao.ghtml,tv_celebridades,23/01/2018 13h19 ,1465,1259,554,0,1,226,8,317,80,92,31,4,0,104,2.86111,6112,17.4861,4.85465,0.0150913,0.316759,0.440032,746
Por BBC ,https://g1.globo.com/mundo/noticia/o-magnata-que-doou-fortuna-de-us-8-bilhoes-em-segredo-e-ficou-com-quase-nada.ghtml,tv_celebridades,05/03/2017 13h39 ,1185,1024,501,0,10,153,3,271,52,61,7,2,0,83,3.57778,4796,22.7556,4.68359,0.00292969,0.266509,0.489258,747
Por Jornal Nacional ,https://g1.globo.com/politica/noticia/investigadores-usam-diagrama-para-explicar-atuacao-de-suposta-organizacao-criminosa-do-pmdb-da-camara.ghtml,politica,12/09/2017 22h12 ,1706,1533,622,0,8,232,8,445,60,58,33,1,0,81,2.98276,7777,26.431,5.07306,0.0,0.174298,0.40574,748
"Julia Affonso, Fabio Serapião e Fausto Macedo ",http://politica.estadao.com.br/blogs/fausto-macedo/procuradoria-denuncia-ex-diretor-da-dersa/,sociedade_cotidiano,22 de março de 2018 ,1909,1703,674,None,22,204,5,524,68,42,32,0,0,82,3.37705,8692,27.918,5.10393,0.000587199,0.151099,0.395772,749
"Max Fisher e Audrey Carlsen / The New York Times, O Estado de S.Paulo ","http://internacional.estadao.com.br/noticias/geral,rivalidade-entre-china-e-eua-define-futuro-da-asia,70002231731",sociedade_cotidiano,18 de março de 2018 ,1151,1022,496,0,18,155,4,284,78,57,17,0,0,77,2.38889,4892,18.9259,4.78669,0.000978474,0.307517,0.485323,750
"Wilson Tosta / RIO, O Estado de S.Paulo ","http://internacional.estadao.com.br/noticias/geral,brasil-teve-movimento-similar-a-revolucao-russa-em-1917,70002074387",sociedade_cotidiano,07 de novembro de 2017 ,1609,1370,642,None,0,202,5,418,75,50,12,0,0,58,3.0641,7012,17.5641,5.11825,0.019708,0.201613,0.468613,751
Por G1 SP ,https://g1.globo.com/sao-paulo/noticia/corpo-de-marcelo-rezende-sera-velado-na-assembleia-legislativa-neste-domingo.ghtml,tv_celebridades,16/09/2017 21h20 ,864,755,352,0,10,99,0,215,32,27,11,10,1,47,2.65854,3510,18.4146,4.64901,0.0,0.187898,0.466225,752
"José Fucs, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,o-cerco-a-roubalheira,10000088053",sociedade_cotidiano,12 de novembro de 2016 ,2927,2522,1078,0,14,361,15,716,149,115,47,2,1,146,3.85714,12651,24.019,5.01626,0.00237906,0.245125,0.427439,753
O Estado de S.Paulo ,"http://internacional.estadao.com.br/noticias/geral,coreia-do-norte-confirma-lancamento-de-novo-tipo-de-missil-intercontinental,70002100840",sociedade_cotidiano,29 de novembro de 2017 ,986,895,416,0,18,112,7,260,65,28,13,0,0,36,2.45946,4456,24.1892,4.97877,0.00111732,0.25,0.464804,754
Por G1 Rio ,https://g1.globo.com/rio-de-janeiro/noticia/charge-de-cristo-redentor-armado-em-jornal-britanico-recebe-criticas-desrespeito.ghtml,sociedade_cotidiano,02/06/2017 12h09 ,376,328,176,None,0,55,2,92,22,15,6,0,3,17,2.18182,1613,14.9091,4.91768,0.00304878,0.251701,0.536585,755
