indice,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
1624,103,90,64,1,13,0,27,6,5,3,0,0,0,1.625,442,11.25,4.91111,0.0,0.0,1.5,0.06996743381023407,0.02910991385579109,0.02288456261157989,0.03942803562515312,FAKE
1625,145,125,94,2,22,1,33,7,3,3,0,0,9,2.8571400000000002,609,17.8571,4.872,0.0,0.0,1.0,0.0202420499175787,0.03169087171554565,0.016745240117112797,0.03452967863995582,FAKE
1626,93,83,65,1,14,0,21,4,8,2,0,0,4,1.4285700000000001,394,11.8571,4.74699,0.0,0.0,1.8999999761581419,0.037452101707458496,0.039109145291149616,0.0581617122516036,0.053212988323399005,FAKE
1627,265,224,154,1,37,1,63,14,10,7,2,0,16,3.41667,1141,18.6667,5.09375,0.0,0.0,1.7999999523162842,0.010538531560450792,0.01902090236544609,0.010971806477755308,0.0169387661084971,FAKE
1628,139,112,71,0,12,1,33,2,7,0,0,0,8,3.0,515,12.4444,4.59821,0.0,0.20000000298023224,1.2999999523162842,0.02463950092593829,0.03547598794102669,0.02957483939826488,0.048728623613715175,FAKE
1629,124,101,78,4,14,1,36,3,3,2,0,0,5,3.28571,456,14.4286,4.51485,0.0,-0.10000000149011612,1.5,0.01758274001379808,0.01890514783250789,0.01968797249719501,0.0554466750472784,FAKE
1630,159,136,95,1,21,1,37,7,11,2,0,0,8,2.875,636,17.0,4.67647,0.0,0.0,1.100000023841858,0.02016119534770648,0.030188780394382775,0.032386425572137036,0.027425810162510188,FAKE
1631,117,102,82,4,18,1,28,5,7,1,0,0,5,1.66667,504,11.3333,4.94118,0.0,0.0,2.400000095367432,0.0208617119739453,0.03444833336398005,0.019408967345952988,0.058079362288117414,FAKE
1632,142,127,91,2,19,1,39,3,7,1,0,0,8,1.66667,606,14.1111,4.77165,0.0,0.20000000298023224,2.0,0.020967380454142887,0.012158139608800413,0.016977535933256148,0.027887552161701024,FAKE
1633,174,156,99,4,25,2,49,5,10,5,0,0,4,2.25,750,19.5,4.80769,0.0,0.0,1.7999999523162842,0.012598233064636588,0.02797446239062331,0.03524301573634148,0.02164210779592395,FAKE
1634,212,177,111,3,44,0,51,1,10,9,4,0,9,2.1875,806,11.0625,4.553669999999999,0.0,0.10000000149011612,3.2999999523162837,0.029176208501060806,,0.018926465573410198,0.017808256271694387,FAKE
1635,207,182,126,5,38,1,50,3,8,6,4,0,17,2.5,835,18.2,4.58791,0.0,0.10000000149011612,1.2000000476837158,0.019037132151424885,0.015233102875451246,0.017310252568374082,0.027432735543698072,FAKE
1636,129,106,82,1,21,0,30,10,1,2,0,0,7,3.83333,491,17.6667,4.63208,0.0,0.0,1.0,0.0386354960501194,0.016008840873837468,0.04591351499160131,0.038111226633191116,FAKE
1637,306,261,160,11,44,0,75,16,22,4,0,0,12,3.75,1284,21.75,4.9195400000000005,0.00766284,0.0,3.2999999523162837,0.018394000921398403,0.008479545824229717,0.01585004446096718,0.023391594799856343,FAKE
1638,102,82,64,0,18,1,21,2,3,2,3,0,10,2.5,355,10.25,4.329269999999999,0.0,0.20000000298023224,2.0999999046325684,,,0.1347164623439312,0.04581686481833458,FAKE
1639,144,112,83,2,29,1,35,6,6,8,0,0,4,2.4615400000000003,530,8.61539,4.73214,0.0,0.0,1.8999999761581419,0.014843663200736048,0.03722711931914091,0.05630166456103325,0.030442486650177413,FAKE
1640,216,185,118,4,44,2,42,7,8,9,0,0,18,1.8235299999999999,935,10.8824,5.05405,0.0,0.0,1.7999999523162842,0.021035343408584598,0.017211327515542506,0.02171305101364851,0.032340915175154805,FAKE
1641,248,215,135,4,41,2,55,12,8,4,0,1,16,2.5384599999999997,1032,16.5385,4.8,0.0,0.0,2.0999999046325684,0.014912398221592106,0.01590962739040454,0.0343792624771595,0.0230262141674757,FAKE
1642,166,144,109,5,30,0,39,2,5,6,4,0,15,2.2,641,14.4,4.45139,0.0,0.0,1.399999976158142,0.02287284719447295,0.030921200024230138,0.019466315396130085,0.02978237660136074,FAKE
1643,206,175,116,2,27,1,51,4,11,5,0,0,9,2.81818,820,15.9091,4.68571,0.0,-0.10000000149011612,1.7999999523162842,0.010767444968223572,0.03031333106466465,0.01777094672434032,0.01286376068102462,FAKE
1644,153,124,85,0,24,1,39,1,3,2,1,1,12,3.22222,547,13.7778,4.41129,0.00806452,0.0,0.6000000238418579,0.027267393190413717,,0.019673767189184826,0.03470716839656233,FAKE
1645,169,137,91,2,19,5,40,4,15,1,0,0,7,1.6842099999999998,628,7.21053,4.58394,0.0,0.0,1.100000023841858,,0.025826298010845974,0.014789313636720182,0.030933921297009174,FAKE
1646,231,203,140,7,28,1,57,14,7,6,0,0,11,2.54545,921,18.4545,4.53695,0.0,0.0,1.399999976158142,0.01359708735253662,0.022066787537187337,0.012843523756600916,0.020178456536748192,FAKE
1647,101,83,69,2,12,0,29,4,4,3,0,0,2,1.8,405,8.3,4.879519999999999,0.0,0.0,1.7000000476837158,0.06890595704317093,0.03682719953358173,0.04120311047881842,0.020669767633080482,FAKE
1648,96,81,58,1,13,0,25,3,5,1,0,0,5,1.66667,356,9.0,4.39506,0.0,0.0,1.7000000476837158,,0.04443886671215296,0.01633293740451336,0.04286837152072361,FAKE
1649,76,65,52,0,8,1,21,7,4,0,0,0,4,1.5714299999999999,330,9.28571,5.076919999999999,0.0,0.20000000298023224,1.7000000476837158,0.026101961731910702,0.04650113079696894,0.028748277574777607,0.034654061620434135,FAKE
1650,322,283,161,4,52,1,77,15,15,11,0,0,15,2.16667,1323,15.7222,4.67491,0.010600700000000001,0.0,3.2999999523162837,0.013945434300694616,0.01710574061144143,0.009161398147365876,0.018626231661376853,FAKE
1651,141,122,89,3,22,2,32,8,4,6,0,0,5,2.375,587,15.25,4.81148,0.0,0.10000000149011612,1.7000000476837158,0.02474802111585935,0.027938404223985143,0.02292451523244381,0.045987450052052736,FAKE
1652,125,107,72,2,18,0,33,7,5,2,0,0,4,1.5,531,8.91667,4.962619999999999,0.0,0.10000000149011612,2.400000095367432,0.023216464091092348,0.05231741070747376,0.016286428552120924,0.030974240550263363,FAKE
1653,164,140,97,2,24,2,39,9,9,4,0,0,4,1.84615,673,10.7692,4.80714,0.00714286,0.0,1.7000000476837158,0.0156395141966641,0.011761767324060202,0.016916793771088123,0.025402084924280643,FAKE
1654,230,200,121,2,23,1,59,5,6,4,0,0,9,3.0,891,20.0,4.455,0.015,0.10000000149011612,2.0999999046325684,0.02049968458179916,0.011473997263237834,0.02979087317362428,0.020978164351121945,FAKE
1655,140,116,80,0,22,0,33,3,5,2,0,0,5,3.0,572,14.5,4.931030000000001,0.0,0.0,1.2999999523162842,0.02428658585995436,0.041013799452533334,0.03578459192067385,0.033218727136651666,FAKE
1656,269,209,158,4,30,2,60,21,17,4,2,0,15,2.1428599999999998,1081,7.464289999999999,5.17225,0.00478469,0.20000000298023224,9.699999809265137,0.021620590317373473,0.007391346851363778,0.006779685150831939,0.019058748000216758,FAKE
1657,182,162,106,1,26,1,52,5,6,2,0,0,16,2.0,822,16.2,5.07407,0.0,0.10000000149011612,1.6000000238418581,0.021211835928261282,0.009306013584136965,0.02323122850308816,0.019829534844535847,FAKE
1658,125,109,76,3,18,0,34,9,5,2,0,0,2,2.28571,548,15.5714,5.02752,0.0,0.0,0.699999988079071,0.03243913439412912,0.03682490810751915,0.015222657471895218,0.03035613615065813,FAKE
1659,35,30,21,2,4,0,12,0,0,0,0,0,0,1.25,155,7.5,5.16667,0.0,0.10000000149011612,0.30000001192092896,0.07279951001207034,,0.0925872139632702,0.0665661096572876,FAKE
1660,101,90,72,2,13,0,26,2,7,2,0,0,1,1.5714299999999999,416,12.8571,4.6222199999999996,0.0111111,0.10000000149011612,1.399999976158142,0.028663733974099163,0.05473891246531691,0.02493528509512544,0.04510991958280405,FAKE
1661,235,190,126,8,33,0,53,9,9,5,5,0,25,1.875,826,7.91667,4.34737,0.0,0.0,3.900000095367432,0.010102675296366216,0.007849886082112791,,0.02708769175741408,FAKE
1662,248,205,135,1,37,0,55,12,21,0,0,0,15,2.38889,1007,11.3889,4.9122,0.00487805,0.0,1.7000000476837158,0.023898991756141186,0.021673833951354027,0.03882284928113222,0.011099537010662831,FAKE
1663,110,98,67,3,14,2,29,4,5,1,0,0,4,1.71429,454,14.0,4.63265,0.0,0.0,0.8999999761581421,0.023116754367947585,0.041240437887609005,0.02242872305214405,0.040685125859454274,FAKE
1664,151,133,81,2,23,2,34,4,5,7,0,0,9,1.63636,625,12.0909,4.69925,0.0075188,0.0,1.2999999523162842,0.020609493367373943,0.01920785717666149,0.02090386301279068,0.03260668976740404,FAKE
1665,126,108,82,2,22,0,28,6,2,2,0,1,8,2.25,478,13.5,4.42593,0.00925926,0.10000000149011612,2.299999952316284,0.02778843343257904,0.04527327930554748,0.017763668671250343,0.04793706080979771,FAKE
1666,135,106,70,0,21,1,33,3,8,0,0,0,6,3.22222,497,11.7778,4.688680000000001,0.00943396,0.0,0.5,0.027289697201922536,0.012760251760482788,,0.02808811422437429,FAKE
1667,150,134,86,3,20,0,39,6,4,2,0,0,8,1.6,579,13.4,4.3209,0.00746269,0.0,2.5,0.02645280079117843,0.025352262333035468,0.037706077098846436,0.01684338739141822,FAKE
1668,197,165,104,1,28,0,51,3,12,4,0,0,11,3.55556,790,18.3333,4.78788,0.0,0.0,1.5,0.010238027572631836,0.027178554899162717,0.006659519392997026,0.019480300709032096,FAKE
1669,141,123,86,2,14,0,44,4,4,1,0,0,4,1.63636,604,11.1818,4.91057,0.0,0.0,1.0,0.026385328266769648,,0.02189818536862731,0.01961741456761956,FAKE
1670,415,358,226,8,35,0,109,35,11,6,0,0,14,3.3529400000000003,1704,21.0588,4.75978,0.00558659,0.20000000298023224,4.900000095367432,0.007467857853043824,0.010258331767876041,0.0071214953903108846,0.007194059767893383,FAKE
1671,149,123,94,3,24,2,36,4,4,4,0,0,4,2.6,570,12.3,4.63415,0.0,0.30000001192092896,2.0999999046325684,0.04827497030297915,0.04024179776509603,0.023602829625209168,0.023632925236597657,FAKE
1672,72,63,52,2,12,0,20,2,1,3,0,0,3,2.25,302,15.75,4.79365,0.0,-0.10000000149011612,1.100000023841858,0.039082184433937066,0.032110873609781265,0.05652761273086071,0.040701928548514836,FAKE
1673,159,127,87,3,31,3,30,8,2,5,1,0,11,2.66667,578,10.5833,4.5511800000000004,0.0,0.0,1.5,0.02053919496635596,0.046165072824805975,0.04419401163856188,0.0468859997474485,FAKE
1674,266,229,152,4,44,3,61,17,12,9,0,0,11,1.85,1076,11.45,4.69869,0.0,0.0,2.700000047683716,0.01947907291145788,0.008649307303130627,0.0207060850225389,0.019051832899164692,FAKE
1675,123,101,71,3,19,2,31,2,5,3,1,0,7,4.4,517,20.2,5.11881,0.039604,0.0,0.699999988079071,0.04125619555513064,0.016574722714722157,0.017359112855046988,0.036227104626595966,FAKE
1676,131,111,70,0,23,0,28,4,10,0,0,0,7,2.0,530,11.1,4.774769999999999,0.0,0.10000000149011612,1.2000000476837158,,0.059422497948010765,,0.03740709388096418,FAKE
1677,211,186,119,4,27,0,52,5,14,2,0,0,7,2.5,848,18.6,4.55914,0.00537634,0.0,1.8999999761581419,0.01040503904223442,0.01899174749851227,0.023690347249309227,0.016233334317803383,FAKE
1678,121,102,81,4,18,3,29,5,7,3,0,0,2,2.71429,512,14.5714,5.01961,0.0,0.10000000149011612,1.399999976158142,0.025591056793928143,,0.029692014679312706,0.03707069251686335,FAKE
1679,97,87,71,1,13,1,31,2,4,2,0,0,4,1.4285700000000001,409,12.4286,4.70115,0.0,0.0,0.5,,,0.024895476177334785,0.04663975816220045,FAKE
1680,224,176,118,0,44,1,44,4,11,3,2,0,17,3.4285699999999997,806,12.5714,4.57955,0.0,0.0,2.900000095367432,0.028838124126195908,0.01747224060818553,0.019462805707007647,0.0302603910677135,FAKE
1681,86,75,62,0,15,1,20,3,5,2,0,1,6,2.75,390,18.75,5.2,0.0,-0.10000000149011612,0.4000000059604645,0.06335173435509205,,,0.04807199724018574,FAKE
1682,171,140,89,4,34,3,32,6,14,6,2,0,12,1.8235299999999999,594,8.235289999999999,4.24286,0.0,0.0,4.800000190734863,0.017867768183350563,0.02186638644586007,0.021448977291584008,0.03624815959483385,FAKE
1683,149,125,79,3,20,0,33,5,8,5,0,0,7,2.4,583,12.5,4.664,0.0,0.0,1.7999999523162842,0.020589876919984814,0.02946420200169086,0.022210995252761576,0.028800502885133025,FAKE
1684,139,117,87,2,27,1,34,2,4,8,2,1,13,1.6923099999999998,586,9.0,5.00855,0.00854701,0.0,3.2999999523162837,0.050188313238322735,0.05779356509447098,0.017794726726909474,0.037051513170202575,FAKE
1685,96,85,55,4,15,0,29,0,2,3,0,0,2,1.83333,376,14.1667,4.42353,0.0,0.0,0.5,0.020556475967168808,0.020924101350829002,0.02065928210504353,0.050250440835952766,FAKE
1686,239,205,133,7,37,2,61,8,12,3,0,0,8,2.125,984,12.8125,4.8,0.0,0.0,3.0999999046325684,0.011913105146959424,,0.025187658766905468,0.01768734613088546,FAKE
1687,87,73,58,4,11,0,29,0,2,1,0,0,1,2.0,340,10.4286,4.65753,0.0,0.0,0.6000000238418579,0.02650994993746281,0.025203573703765875,0.07865776680409907,0.04163538584751742,FAKE
1688,148,119,86,3,22,1,38,5,7,5,1,0,6,4.14286,568,17.0,4.77311,0.0252101,0.0,0.6000000238418579,0.03151667650256838,0.019106352391342327,0.016294040717184544,0.03158076319166205,FAKE
1689,110,90,59,4,16,0,31,1,4,4,0,0,1,2.8571400000000002,428,12.8571,4.75556,0.0111111,0.0,0.20000000298023224,0.02122422214597464,0.015669043486316998,0.01750598382204771,0.03777888527838513,FAKE
1690,151,122,91,5,14,2,33,9,4,0,2,0,5,2.9,556,12.2,4.55738,0.00819672,0.10000000149011612,2.700000047683716,0.07249026745557784,0.019968937267549336,0.036607612079630286,0.02612739196047187,FAKE
1691,197,173,97,3,32,0,48,3,13,7,0,0,13,2.4,791,17.3,4.57225,0.0,0.10000000149011612,2.0999999046325684,0.020177348982542757,0.015540615500261387,0.02334330587958296,0.017297704171921526,FAKE
1692,122,107,83,3,18,2,31,4,10,5,0,0,6,2.1428599999999998,485,15.2857,4.53271,0.00934579,0.0,0.8000000119209291,0.03943353146314621,,0.02163391523063183,0.03526578497673784,FAKE
1693,175,159,117,0,25,0,43,9,6,2,0,0,3,1.33333,772,13.25,4.85535,0.0125786,0.0,1.6000000238418581,0.04599431032935778,0.02168853720650077,0.017737451707944274,0.020399751025252044,FAKE
1694,150,120,84,2,24,2,32,4,13,2,0,0,4,2.72727,509,10.9091,4.24167,0.0,0.0,2.700000047683716,0.04491649857825703,0.05004058157404264,0.01731355767697096,0.02879736882944902,FAKE
1695,158,135,89,0,19,2,40,8,5,1,0,0,9,2.875,582,16.875,4.31111,0.0148148,0.10000000149011612,2.5999999046325684,0.015061578713357447,0.014666962204501031,0.0200252546928823,0.03804919976167954,FAKE
1696,152,124,87,1,21,1,31,12,9,1,3,0,6,2.54545,557,11.2727,4.4919400000000005,0.0,0.0,1.6000000238418581,0.056597212329506874,0.01986728981137276,0.01986728981137276,0.030099321700011686,FAKE
1697,99,85,66,1,18,1,27,3,5,3,0,0,6,2.33333,406,14.1667,4.77647,0.011764700000000001,-0.10000000149011612,1.0,0.04383641853928566,,0.03640370815992355,0.05243971080265262,FAKE
1698,41,35,29,1,4,0,12,1,3,1,0,0,1,2.0,158,11.6667,4.51429,0.0,0.0,0.20000000298023224,0.13089770078659058,0.08707326278090477,,0.10125492326915264,FAKE
1699,157,132,99,2,22,0,38,10,2,4,0,0,3,2.5,601,13.2,4.553030000000001,0.00757576,0.30000001192092896,3.7999999523162837,0.01930271647870541,0.02005044650286436,0.020048488862812526,0.03301802836358547,FAKE
1700,218,181,129,0,43,2,51,6,10,9,0,0,8,2.84615,947,13.9231,5.2320400000000005,0.0,0.0,3.2000000476837163,0.03407517013450464,0.00976848369464278,0.02183835407985108,0.021363154985010624,FAKE
1701,119,98,72,0,17,1,27,8,7,1,0,0,9,3.0,478,14.0,4.87755,0.010204099999999999,0.10000000149011612,3.900000095367432,0.050852214917540564,0.08213900774717331,0.016849162057042122,0.05701917440940936,FAKE
1702,109,98,67,1,16,0,23,6,2,2,0,0,4,1.5714299999999999,487,14.0,4.96939,0.0,0.10000000149011612,1.2000000476837158,0.02686929423362017,0.04055267944931984,0.04115621000528336,0.035623824223876,FAKE
1703,240,179,124,4,33,3,46,7,21,4,1,0,17,6.1,838,17.9,4.68156,0.022346400000000002,0.0,4.599999904632568,0.017791215097531676,0.02593814884312451,0.008411962538957596,0.03239820366725325,FAKE
1704,148,125,90,1,15,0,38,5,8,2,0,0,2,2.875,633,15.625,5.064,0.032,0.0,1.2999999523162842,0.029898138437420133,0.037189829163253314,0.03715759851038456,0.03270418383181095,FAKE
1705,91,76,53,0,10,0,27,5,4,0,0,0,3,2.1428599999999998,361,10.8571,4.75,0.0526316,0.30000001192092896,2.299999952316284,,0.02104178878168265,,0.04603190223375956,FAKE
1706,200,164,122,4,35,5,46,3,4,4,0,3,16,2.4,777,10.9333,4.7378,0.00609756,0.0,2.200000047683716,0.011001236271113156,0.02273675729520619,0.013372967285769326,0.01993929480130856,FAKE
1707,147,129,88,0,19,0,36,7,7,4,0,0,0,1.63636,626,11.7273,4.85271,0.0,-0.10000000149011612,1.8999999761581419,0.016592245548963547,0.01590082747861743,0.030820933170616623,0.022985492578961632,FAKE
1708,370,310,201,5,65,2,75,25,22,16,0,0,17,2.5,1624,12.9167,5.23871,0.0,0.0,5.300000190734863,0.008390813267656736,0.012511937455697493,0.014966415939852597,0.013752456987276672,FAKE
1709,27,20,19,0,6,0,6,0,0,1,0,0,1,1.4,87,4.0,4.35,0.0,0.0,1.2000000476837158,0.15239612758159635,,0.181785136461258,0.12849069014191628,FAKE
1710,219,195,124,5,29,1,55,10,8,5,0,0,16,2.4,999,19.5,5.12308,0.0,0.0,0.8000000119209291,0.034307742890502715,0.023631578843508447,0.015159530052915215,0.022345037083141502,FAKE
1711,184,162,112,4,24,0,49,15,5,5,0,0,6,3.1428599999999998,788,23.1429,4.8642,0.012345700000000001,0.0,0.8999999761581421,0.01631404086947441,0.04547969251871109,0.018350232392549515,0.017368263254563015,FAKE
1712,138,111,90,0,23,1,35,6,1,1,0,0,5,2.7,596,11.1,5.36937,0.00900901,-0.20000000298023224,1.6000000238418581,0.02796170208603144,0.03077990685900053,0.03806772517661253,0.02720639214385301,FAKE
1713,266,223,141,0,28,2,65,9,11,1,0,0,13,2.6875,969,13.9375,4.34529,0.00896861,0.0,1.100000023841858,0.016916303429752592,0.010008126962929964,0.01845773526777824,0.020517856607006654,FAKE
1714,235,191,123,2,38,1,55,10,8,4,3,0,9,3.3846199999999995,875,14.6923,4.58115,0.0,0.10000000149011612,3.0,0.02887354651466012,0.010800807271152736,0.019011457916349173,0.02355594385196181,FAKE
1715,220,192,114,6,29,1,61,9,4,6,0,0,13,3.5,920,24.0,4.79167,0.0,0.0,1.100000023841858,0.035455754647652306,0.016941161709837615,0.017388469617192943,0.02216601340721051,FAKE
1716,240,211,135,6,31,3,58,16,6,4,0,0,4,1.8125,1009,13.1875,4.78199,0.00473934,0.10000000149011612,2.799999952316284,0.02026289310306311,0.026461580768227574,0.011900421542425951,0.02288985896545152,FAKE
1717,176,144,98,2,28,3,35,7,12,3,1,1,18,5.33333,679,24.0,4.71528,0.0,0.0,3.0,,0.02556249765413148,0.01835259205351273,0.03686352376826108,FAKE
1718,201,177,115,3,29,0,49,5,8,3,0,0,11,2.18182,772,16.0909,4.36158,0.00564972,0.10000000149011612,4.0,,0.03178430907428265,0.01819864722589652,0.028642217442393307,FAKE
1719,86,71,56,0,10,0,24,5,0,2,0,0,3,3.0,358,14.2,5.04225,0.0140845,0.20000000298023224,0.4000000059604645,0.0495356246829033,0.02606029373904069,0.03184903785586357,0.04965127957984805,FAKE
1720,299,267,170,2,47,2,69,12,20,7,0,1,33,1.6842099999999998,1277,14.0526,4.782769999999999,0.0,0.0,3.7000000476837163,0.014358107067112413,0.011602063197642565,0.01732341723982245,0.01083164697047323,FAKE
1721,119,100,74,0,17,1,32,4,4,1,0,0,8,2.71429,490,14.2857,4.9,0.0,0.10000000149011612,3.0999999046325684,0.038248594384640455,,0.027855748310685158,0.037336068760071485,FAKE
1722,174,143,98,0,26,4,49,4,7,2,0,0,8,3.875,670,17.875,4.685309999999999,0.0,0.0,2.700000047683716,0.014407888054847716,0.016223921440541744,0.032056141910808425,0.023578889667987823,FAKE
1723,258,219,144,3,36,0,58,13,16,4,0,0,15,1.77273,1009,9.95455,4.60731,0.0,0.0,3.900000095367432,0.010022939648479223,0.016249775886535645,0.014789956901222468,0.023852178996259518,FAKE
1724,160,134,96,1,26,2,34,8,13,3,0,0,9,2.0,661,10.3077,4.932840000000001,0.022388099999999998,0.0,2.700000047683716,0.03234259424997228,0.03472889494150877,,0.0385170882800594,FAKE
1725,110,95,69,0,17,0,29,6,4,2,0,0,4,1.25,404,7.91667,4.25263,0.0,0.20000000298023224,2.900000095367432,0.029758656397461888,0.02528477665036917,,0.0386088148557714,FAKE
1726,220,195,120,5,34,5,54,10,6,7,0,0,11,2.5,902,19.5,4.62564,0.0,0.0,1.2999999523162842,0.022320608918865517,0.009986302504936852,0.017903948202729225,0.020546778105199337,FAKE
1727,176,154,99,4,27,0,41,5,5,3,0,0,2,2.0,741,14.0,4.8116900000000005,0.0,0.0,1.7999999523162842,0.03852546238340437,0.032069375505670905,0.013322633691132069,0.024362110702151604,FAKE
1728,146,126,88,3,17,0,37,4,2,1,0,0,3,2.22222,628,14.0,4.98413,0.00793651,0.0,1.2000000476837158,0.03184901364147663,0.0391013266518712,0.017744507019718487,0.023361273109912872,FAKE
1729,127,107,74,1,20,2,28,5,5,3,0,0,8,2.22222,457,11.8889,4.2710300000000005,0.0,0.0,1.8999999761581419,0.03254559636116028,0.04946567118167877,0.02333345264196396,0.040111058909032084,FAKE
1730,236,200,131,4,39,1,54,8,15,2,2,0,18,2.57143,866,14.2857,4.33,0.01,0.0,4.599999904632568,0.011251642368733885,,0.010450350120663643,0.023650466464459896,FAKE
1731,220,176,122,2,46,2,38,7,11,6,1,0,10,4.4,834,17.6,4.73864,0.0,0.10000000149011612,1.8999999761581419,0.031995806377381086,0.02301742934754917,0.01337090926244855,0.02793045353610069,FAKE
1732,393,344,207,2,54,2,97,28,19,13,0,0,14,2.57895,1677,18.1053,4.875,0.00290698,0.0,3.2999999523162837,0.011039651930332184,0.014475762471556663,0.0047041569370776404,0.011627739029271262,FAKE
1733,188,149,95,6,33,0,43,1,11,7,0,0,6,3.0,682,11.4615,4.57718,0.0,0.0,1.5,0.017480819020420313,0.029850168526172637,0.01872828478614489,0.02113300608471036,FAKE
1734,110,93,69,2,17,0,28,4,3,2,0,0,5,2.83333,448,15.5,4.8172,0.0,-0.10000000149011612,0.5,0.02916114617671285,0.023360534260670345,0.023359353964527447,0.040913110598921776,FAKE
1735,221,181,121,9,37,5,49,7,10,4,0,0,18,2.5,824,11.3125,4.55249,0.0,0.10000000149011612,2.5,0.023661660589277742,0.009858124889433384,0.013094253093004226,0.034871721329788365,FAKE
1736,133,116,88,4,16,0,36,1,9,0,0,1,10,2.125,545,14.5,4.6982800000000005,0.0,0.10000000149011612,1.7000000476837158,,0.03567088907584548,0.030406910460442305,0.02928964814378156,FAKE
1737,152,121,92,1,19,0,31,3,7,2,0,0,15,3.875,570,15.125,4.71074,0.00826446,0.10000000149011612,2.0,0.011252443306148052,0.016873393766582014,0.015035454494257769,0.03720009865032302,FAKE
1738,147,135,86,5,21,2,41,5,2,2,0,0,3,1.71429,634,19.2857,4.6963,0.0,0.0,1.2999999523162842,0.014094498241320252,0.03892704471945762,0.027380743995308883,0.044200786389410496,FAKE
1739,113,96,74,1,25,1,30,4,3,3,0,0,2,2.42857,474,13.7143,4.9375,0.0,0.20000000298023224,3.0999999046325684,0.033930863253772266,0.04200048851115363,0.02091475669294596,0.03257122103657041,FAKE
1740,517,446,251,6,77,7,124,28,14,14,0,0,29,4.7333300000000005,2201,29.7333,4.93498,0.0201794,0.0,4.0,0.008016943762248213,0.006370376423001289,0.01049514031527858,0.007572329189214442,FAKE
1741,109,77,58,2,11,0,28,2,0,1,0,0,3,6.4,386,15.4,5.01299,0.0,0.10000000149011612,0.8000000119209291,0.04843954648822546,0.0278950750362128,0.02544925237695376,0.02531923418864608,FAKE
1742,127,113,71,1,17,1,30,5,3,3,1,0,10,2.33333,475,18.8333,4.20354,0.00884956,0.0,1.7999999523162842,0.02270100638270378,,0.02555194435020288,0.04203631604711215,FAKE
1743,179,149,98,5,30,2,43,2,8,4,0,0,8,2.30769,711,11.4615,4.771809999999999,0.0,0.10000000149011612,1.2999999523162842,0.019310690648853775,0.01610545612250765,0.04679089784622192,0.024951248947117064,FAKE
1744,157,133,98,0,32,1,36,3,4,5,0,0,11,2.4,654,13.3,4.91729,0.0,0.0,1.2000000476837158,0.017912335810251534,,0.034146377506355435,0.03205777590091412,FAKE
1745,166,141,108,2,24,1,35,11,8,5,0,0,6,2.5,701,14.1,4.97163,0.0,0.10000000149011612,2.0999999046325684,0.028732357174158094,0.029461022311200694,0.014716623816639187,0.021950988681055602,FAKE
1746,497,417,244,13,64,3,118,33,29,6,1,0,23,2.22222,2066,11.5833,4.95444,0.00479616,0.0,5.199999809265137,0.0067452459285656605,0.01083630326149218,0.009233445511199534,0.009081556280660959,FAKE
1747,211,166,119,0,35,0,46,9,12,5,0,0,14,3.0,831,11.0667,5.0060199999999995,0.0,0.0,2.5999999046325684,0.022913371109300185,0.016035410575568676,0.025474836428960163,0.027322566469333003,FAKE
1748,254,217,134,7,37,0,65,8,7,7,0,0,7,2.6428599999999998,1048,15.5,4.82949,0.0,0.10000000149011612,2.0,0.010449496718744436,0.011127276229672134,0.014516058936715126,0.022709526063408703,FAKE
1749,237,198,131,9,33,0,53,11,12,7,0,1,12,2.29412,933,11.6471,4.71212,0.00505051,0.0,5.400000095367432,0.022317947819828987,0.009166794363409279,0.02852224581874907,0.039183399640023715,FAKE
1750,53,45,38,0,5,0,17,2,0,1,0,0,0,2.0,202,11.25,4.4888900000000005,0.0,0.20000000298023224,0.6000000238418579,0.09990615397691728,0.05788446515798569,0.05998784676194191,0.08596750224630037,FAKE
1751,117,101,75,11,13,0,30,2,3,2,0,0,0,2.0,478,12.625,4.73267,0.0,0.0,0.699999988079071,0.02152837347239256,0.043193474411964417,0.04366965405642986,0.04412709455937147,FAKE
1752,174,142,107,2,17,2,49,5,5,2,0,0,4,2.4615400000000003,647,10.9231,4.5563400000000005,0.028169,0.0,1.100000023841858,0.028239414406319455,0.031146435687939324,0.027742559439502656,0.020642993040382862,FAKE
1753,135,113,76,1,14,2,37,2,7,1,0,0,3,3.1428599999999998,569,16.1429,5.0354,0.0,0.10000000149011612,1.2000000476837158,0.01591769466176629,0.01961321197450161,0.019275751275320847,0.036785737324792615,FAKE
1754,162,139,98,0,27,1,38,1,6,5,3,0,10,1.91667,657,11.5833,4.72662,0.0,0.0,1.100000023841858,0.03632781196696063,0.013489363947883248,0.029332267120480537,0.022763497365469284,FAKE
1755,128,107,77,0,14,0,34,6,5,1,0,0,5,3.5,567,17.8333,5.2990699999999995,0.0,-0.20000000298023224,1.6000000238418581,0.030423431790300774,0.032704539286593594,0.036018698343208866,0.026586825338502724,FAKE
